Namespace(Lambda_KL=0.1, Lambda_ST=0.1, Lambda_global=1000, all_use='no', aux_iter=16, batch_size=128, beta=0.5, checkpoint_dir='checkpoint', cuda=True, entropy_thr=0.7, epoch_decay=100, epr=1, init_tgt_port=0.2, load_checkpoint=None, lr=0.0005, max_epoch=500, max_mu=1, max_tgt_port=0.5, mu=1.1000000000000001e-05, n_samples=10, nclasses=10, ndomain=5, net='conv3_fc2', nfeat=2048, no_cuda=False, num_rounds=20, optimizer='adam', pho=1.1, ratio=0.3, record_folder='record', save_epoch=20, save_model=True, seed=1, sigma=0.05, target='mnistm', tgt_port_step=0.05, use_target=True)

  Train Epoch:   0 [  1/195.3125 (0.01%)]	Loss_cls_domain: 9.20876	Loss_cls_source: 9.20661	Loss_cls_target: 0.00000	Loss_local: 0.00034	Loss_ALM: 0.00198	 mu: 0.00001
  Train Epoch:   0 [131/195.3125 (0.67%)]	Loss_cls_domain: 2.40498	Loss_cls_source: 2.64081	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00381	 mu: 0.00002
  Train Epoch:   0 [141/195.3125 (0.72%)]	Loss_cls_domain: 2.13834	Loss_cls_source: 2.39722	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00379	 mu: 0.00002
  Train Epoch:   0 [151/195.3125 (0.77%)]	Loss_cls_domain: 1.97051	Loss_cls_source: 2.21811	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00418	 mu: 0.00003
  Train Epoch:   0 [161/195.3125 (0.82%)]	Loss_cls_domain: 1.83652	Loss_cls_source: 2.05516	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00419	 mu: 0.00003
  Train Epoch:   0 [171/195.3125 (0.88%)]	Loss_cls_domain: 1.72831	Loss_cls_source: 2.11918	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00462	 mu: 0.00003
  Train Epoch:   0 [181/195.3125 (0.93%)]	Loss_cls_domain: 1.46774	Loss_cls_source: 1.70585	Loss_cls_target: 0.00000	Loss_local: 0.00004	Loss_ALM: 0.00503	 mu: 0.00003
  Train Epoch:   0 [191/195.3125 (0.98%)]	Loss_cls_domain: 1.40563	Loss_cls_source: 1.75675	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00505	 mu: 0.00003
  Train Epoch:   0 [201/195.3125 (1.03%)]	Loss_cls_domain: 1.26577	Loss_cls_source: 1.56960	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00554	 mu: 0.00003
  Train Epoch:   0 [211/195.3125 (1.08%)]	Loss_cls_domain: 1.19565	Loss_cls_source: 1.53399	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00610	 mu: 0.00004
  Train Epoch:   0 [221/195.3125 (1.13%)]	Loss_cls_domain: 1.10036	Loss_cls_source: 1.44631	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00610	 mu: 0.00004
  Train Epoch:   0 [231/195.3125 (1.18%)]	Loss_cls_domain: 1.07905	Loss_cls_source: 1.49034	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00673	 mu: 0.00004
  Train Epoch:   1 [  1/195.3125 (0.01%)]	Loss_cls_domain: 0.97362	Loss_cls_source: 1.18315	Loss_cls_target: 0.00000	Loss_local: 0.00004	Loss_ALM: 0.00667	 mu: 0.00005
  Train Epoch:   1 [ 11/195.3125 (0.06%)]	Loss_cls_domain: 0.95406	Loss_cls_source: 1.30216	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00737	 mu: 0.00005
  Train Epoch:   1 [ 21/195.3125 (0.11%)]	Loss_cls_domain: 0.85133	Loss_cls_source: 1.15139	Loss_cls_target: 0.06932	Loss_local: 0.00004	Loss_ALM: 0.01054	 mu: 0.00005
  Train Epoch:   1 [ 31/195.3125 (0.16%)]	Loss_cls_domain: 0.84795	Loss_cls_source: 1.32924	Loss_cls_target: 0.06696	Loss_local: 0.00005	Loss_ALM: 0.01050	 mu: 0.00005
  Train Epoch:   1 [ 41/195.3125 (0.21%)]	Loss_cls_domain: 0.77992	Loss_cls_source: 1.10891	Loss_cls_target: 0.06688	Loss_local: 0.00004	Loss_ALM: 0.01128	 mu: 0.00006
  Train Epoch:   1 [ 51/195.3125 (0.26%)]	Loss_cls_domain: 0.68818	Loss_cls_source: 0.98118	Loss_cls_target: 0.06691	Loss_local: 0.00004	Loss_ALM: 0.01217	 mu: 0.00006
  Train Epoch:   1 [ 61/195.3125 (0.31%)]	Loss_cls_domain: 0.73320	Loss_cls_source: 1.32837	Loss_cls_target: 0.06357	Loss_local: 0.00005	Loss_ALM: 0.01222	 mu: 0.00006
  Train Epoch:   1 [ 71/195.3125 (0.36%)]	Loss_cls_domain: 0.65882	Loss_cls_source: 1.00268	Loss_cls_target: 0.06228	Loss_local: 0.00004	Loss_ALM: 0.01340	 mu: 0.00007
  Train Epoch:   1 [ 81/195.3125 (0.41%)]	Loss_cls_domain: 0.65843	Loss_cls_source: 1.12908	Loss_cls_target: 0.05983	Loss_local: 0.00005	Loss_ALM: 0.01344	 mu: 0.00007
  Train Epoch:   1 [ 91/195.3125 (0.47%)]	Loss_cls_domain: 0.60191	Loss_cls_source: 1.01149	Loss_cls_target: 0.05785	Loss_local: 0.00004	Loss_ALM: 0.01475	 mu: 0.00007
  Train Epoch:   1 [101/195.3125 (0.52%)]	Loss_cls_domain: 0.58360	Loss_cls_source: 1.16301	Loss_cls_target: 0.05640	Loss_local: 0.00005	Loss_ALM: 0.01628	 mu: 0.00008
  Train Epoch:   1 [111/195.3125 (0.57%)]	Loss_cls_domain: 0.55142	Loss_cls_source: 1.05622	Loss_cls_target: 0.05455	Loss_local: 0.00005	Loss_ALM: 0.01625	 mu: 0.00008
  Train Epoch:   1 [121/195.3125 (0.62%)]	Loss_cls_domain: 0.50739	Loss_cls_source: 0.86570	Loss_cls_target: 0.05419	Loss_local: 0.00004	Loss_ALM: 0.01785	 mu: 0.00009
  Train Epoch:   1 [131/195.3125 (0.67%)]	Loss_cls_domain: 0.50049	Loss_cls_source: 1.18252	Loss_cls_target: 0.05326	Loss_local: 0.00005	Loss_ALM: 0.01968	 mu: 0.00010
  Train Epoch:   1 [141/195.3125 (0.72%)]	Loss_cls_domain: 0.47510	Loss_cls_source: 0.94989	Loss_cls_target: 0.05266	Loss_local: 0.00005	Loss_ALM: 0.01970	 mu: 0.00010
  Train Epoch:   1 [151/195.3125 (0.77%)]	Loss_cls_domain: 0.44284	Loss_cls_source: 0.78501	Loss_cls_target: 0.04954	Loss_local: 0.00004	Loss_ALM: 0.02162	 mu: 0.00011
  Train Epoch:   1 [161/195.3125 (0.82%)]	Loss_cls_domain: 0.43587	Loss_cls_source: 0.86793	Loss_cls_target: 0.04958	Loss_local: 0.00004	Loss_ALM: 0.02159	 mu: 0.00012
  Train Epoch:   1 [171/195.3125 (0.88%)]	Loss_cls_domain: 0.43206	Loss_cls_source: 0.90489	Loss_cls_target: 0.04780	Loss_local: 0.00005	Loss_ALM: 0.02384	 mu: 0.00012
  Train Epoch:   1 [181/195.3125 (0.93%)]	Loss_cls_domain: 0.41137	Loss_cls_source: 0.79042	Loss_cls_target: 0.04448	Loss_local: 0.00004	Loss_ALM: 0.02620	 mu: 0.00013
  Train Epoch:   1 [191/195.3125 (0.98%)]	Loss_cls_domain: 0.37766	Loss_cls_source: 0.80548	Loss_cls_target: 0.04715	Loss_local: 0.00004	Loss_ALM: 0.02615	 mu: 0.00013
  Train Epoch:   1 [201/195.3125 (1.03%)]	Loss_cls_domain: 0.37515	Loss_cls_source: 0.82846	Loss_cls_target: 0.04390	Loss_local: 0.00005	Loss_ALM: 0.02881	 mu: 0.00014
  Train Epoch:   1 [211/195.3125 (1.08%)]	Loss_cls_domain: 0.34617	Loss_cls_source: 0.64800	Loss_cls_target: 0.04218	Loss_local: 0.00004	Loss_ALM: 0.03159	 mu: 0.00016
  Train Epoch:   1 [221/195.3125 (1.13%)]	Loss_cls_domain: 0.33128	Loss_cls_source: 0.72864	Loss_cls_target: 0.04299	Loss_local: 0.00004	Loss_ALM: 0.03162	 mu: 0.00016
  Train Epoch:   1 [231/195.3125 (1.18%)]	Loss_cls_domain: 0.31166	Loss_cls_source: 0.63709	Loss_cls_target: 0.04206	Loss_local: 0.00004	Loss_ALM: 0.03473	 mu: 0.00017
  Train Epoch:   2 [  1/195.3125 (0.01%)]	Loss_cls_domain: 0.32423	Loss_cls_source: 0.71395	Loss_cls_target: 0.04253	Loss_local: 0.00004	Loss_ALM: 0.03484	 mu: 0.00019
  Train Epoch:   2 [ 11/195.3125 (0.06%)]	Loss_cls_domain: 0.29793	Loss_cls_source: 0.71377	Loss_cls_target: 0.04080	Loss_local: 0.00004	Loss_ALM: 0.03823	 mu: 0.00019
  Train Epoch:   2 [ 21/195.3125 (0.11%)]	Loss_cls_domain: 0.29180	Loss_cls_source: 0.76151	Loss_cls_target: 0.04128	Loss_local: 0.00005	Loss_ALM: 0.04205	 mu: 0.00021
  Train Epoch:   2 [ 31/195.3125 (0.16%)]	Loss_cls_domain: 0.26839	Loss_cls_source: 0.59303	Loss_cls_target: 0.03911	Loss_local: 0.00004	Loss_ALM: 0.04193	 mu: 0.00021
  Train Epoch:   2 [ 41/195.3125 (0.21%)]	Loss_cls_domain: 0.26233	Loss_cls_source: 0.58439	Loss_cls_target: 0.03727	Loss_local: 0.00004	Loss_ALM: 0.04618	 mu: 0.00023
  Train Epoch:   2 [ 51/195.3125 (0.26%)]	Loss_cls_domain: 0.27776	Loss_cls_source: 0.53018	Loss_cls_target: 0.03502	Loss_local: 0.00004	Loss_ALM: 0.05096	 mu: 0.00026
  Train Epoch:   2 [ 61/195.3125 (0.31%)]	Loss_cls_domain: 0.28098	Loss_cls_source: 0.70863	Loss_cls_target: 0.03483	Loss_local: 0.00005	Loss_ALM: 0.05110	 mu: 0.00026
  Train Epoch:   2 [ 71/195.3125 (0.36%)]	Loss_cls_domain: 0.25171	Loss_cls_source: 0.57360	Loss_cls_target: 0.03732	Loss_local: 0.00004	Loss_ALM: 0.05601	 mu: 0.00028
  Train Epoch:   2 [ 81/195.3125 (0.41%)]	Loss_cls_domain: 0.25863	Loss_cls_source: 0.64640	Loss_cls_target: 0.03591	Loss_local: 0.00004	Loss_ALM: 0.05605	 mu: 0.00031
  Train Epoch:   2 [ 91/195.3125 (0.47%)]	Loss_cls_domain: 0.25001	Loss_cls_source: 0.62581	Loss_cls_target: 0.03485	Loss_local: 0.00004	Loss_ALM: 0.06174	 mu: 0.00031
  Train Epoch:   2 [101/195.3125 (0.52%)]	Loss_cls_domain: 0.23883	Loss_cls_source: 0.63890	Loss_cls_target: 0.03286	Loss_local: 0.00004	Loss_ALM: 0.06791	 mu: 0.00034
  Train Epoch:   2 [111/195.3125 (0.57%)]	Loss_cls_domain: 0.23437	Loss_cls_source: 0.61659	Loss_cls_target: 0.03694	Loss_local: 0.00004	Loss_ALM: 0.06790	 mu: 0.00034
  Train Epoch:   2 [121/195.3125 (0.62%)]	Loss_cls_domain: 0.23216	Loss_cls_source: 0.57987	Loss_cls_target: 0.03316	Loss_local: 0.00004	Loss_ALM: 0.07472	 mu: 0.00037
  Train Epoch:   2 [131/195.3125 (0.67%)]	Loss_cls_domain: 0.21856	Loss_cls_source: 0.55263	Loss_cls_target: 0.03442	Loss_local: 0.00004	Loss_ALM: 0.08218	 mu: 0.00041
  Train Epoch:   2 [141/195.3125 (0.72%)]	Loss_cls_domain: 0.21639	Loss_cls_source: 0.57227	Loss_cls_target: 0.03091	Loss_local: 0.00004	Loss_ALM: 0.08212	 mu: 0.00041
  Train Epoch:   2 [151/195.3125 (0.77%)]	Loss_cls_domain: 0.20728	Loss_cls_source: 0.62028	Loss_cls_target: 0.03236	Loss_local: 0.00004	Loss_ALM: 0.09029	 mu: 0.00045
  Train Epoch:   2 [161/195.3125 (0.82%)]	Loss_cls_domain: 0.21187	Loss_cls_source: 0.78316	Loss_cls_target: 0.03337	Loss_local: 0.00005	Loss_ALM: 0.09054	 mu: 0.00050
  Train Epoch:   2 [171/195.3125 (0.88%)]	Loss_cls_domain: 0.20992	Loss_cls_source: 0.64746	Loss_cls_target: 0.03192	Loss_local: 0.00005	Loss_ALM: 0.09970	 mu: 0.00050
  Train Epoch:   2 [181/195.3125 (0.93%)]	Loss_cls_domain: 0.19945	Loss_cls_source: 0.65646	Loss_cls_target: 0.03362	Loss_local: 0.00005	Loss_ALM: 0.10950	 mu: 0.00055
  Train Epoch:   2 [191/195.3125 (0.98%)]	Loss_cls_domain: 0.19339	Loss_cls_source: 0.75697	Loss_cls_target: 0.03114	Loss_local: 0.00005	Loss_ALM: 0.10941	 mu: 0.00055
  Train Epoch:   2 [201/195.3125 (1.03%)]	Loss_cls_domain: 0.18769	Loss_cls_source: 0.61084	Loss_cls_target: 0.02827	Loss_local: 0.00004	Loss_ALM: 0.12026	 mu: 0.00060
  Train Epoch:   2 [211/195.3125 (1.08%)]	Loss_cls_domain: 0.17755	Loss_cls_source: 0.57273	Loss_cls_target: 0.03222	Loss_local: 0.00005	Loss_ALM: 0.13231	 mu: 0.00066
  Train Epoch:   2 [221/195.3125 (1.13%)]	Loss_cls_domain: 0.16699	Loss_cls_source: 0.48187	Loss_cls_target: 0.02760	Loss_local: 0.00004	Loss_ALM: 0.13186	 mu: 0.00066
  Train Epoch:   2 [231/195.3125 (1.18%)]	Loss_cls_domain: 0.16945	Loss_cls_source: 0.52514	Loss_cls_target: 0.03034	Loss_local: 0.00004	Loss_ALM: 0.14540	 mu: 0.00073
  Train Epoch:   3 [  1/195.3125 (0.01%)]	Loss_cls_domain: 0.17026	Loss_cls_source: 0.56381	Loss_cls_target: 0.03043	Loss_local: 0.00005	Loss_ALM: 0.14561	 mu: 0.00080
  Train Epoch:   3 [ 11/195.3125 (0.06%)]	Loss_cls_domain: 0.16089	Loss_cls_source: 0.39354	Loss_cls_target: 0.02926	Loss_local: 0.00004	Loss_ALM: 0.15973	 mu: 0.00080
  Train Epoch:   3 [ 21/195.3125 (0.11%)]	Loss_cls_domain: 0.15227	Loss_cls_source: 0.46674	Loss_cls_target: 0.02876	Loss_local: 0.00004	Loss_ALM: 0.17544	 mu: 0.00088
  Train Epoch:   3 [ 31/195.3125 (0.16%)]	Loss_cls_domain: 0.16559	Loss_cls_source: 0.65477	Loss_cls_target: 0.03012	Loss_local: 0.00005	Loss_ALM: 0.17630	 mu: 0.00088
  Train Epoch:   3 [ 41/195.3125 (0.21%)]	Loss_cls_domain: 0.15843	Loss_cls_source: 0.53212	Loss_cls_target: 0.02927	Loss_local: 0.00005	Loss_ALM: 0.19376	 mu: 0.00097
  Train Epoch:   3 [ 51/195.3125 (0.26%)]	Loss_cls_domain: 0.14988	Loss_cls_source: 0.55517	Loss_cls_target: 0.02811	Loss_local: 0.00005	Loss_ALM: 0.21291	 mu: 0.00107
  Train Epoch:   3 [ 61/195.3125 (0.31%)]	Loss_cls_domain: 0.15960	Loss_cls_source: 0.63843	Loss_cls_target: 0.02536	Loss_local: 0.00005	Loss_ALM: 0.21342	 mu: 0.00107
  Train Epoch:   3 [ 71/195.3125 (0.36%)]	Loss_cls_domain: 0.14064	Loss_cls_source: 0.54851	Loss_cls_target: 0.02978	Loss_local: 0.00004	Loss_ALM: 0.23379	 mu: 0.00117
  Train Epoch:   3 [ 81/195.3125 (0.41%)]	Loss_cls_domain: 0.14615	Loss_cls_source: 0.59681	Loss_cls_target: 0.02817	Loss_local: 0.00005	Loss_ALM: 0.23472	 mu: 0.00129
  Train Epoch:   3 [ 91/195.3125 (0.47%)]	Loss_cls_domain: 0.13545	Loss_cls_source: 0.53339	Loss_cls_target: 0.02653	Loss_local: 0.00004	Loss_ALM: 0.25734	 mu: 0.00129
  Train Epoch:   3 [101/195.3125 (0.52%)]	Loss_cls_domain: 0.13686	Loss_cls_source: 0.55442	Loss_cls_target: 0.02831	Loss_local: 0.00005	Loss_ALM: 0.28352	 mu: 0.00142
  Train Epoch:   3 [111/195.3125 (0.57%)]	Loss_cls_domain: 0.13994	Loss_cls_source: 0.47308	Loss_cls_target: 0.02649	Loss_local: 0.00005	Loss_ALM: 0.28419	 mu: 0.00142
  Train Epoch:   3 [121/195.3125 (0.62%)]	Loss_cls_domain: 0.13825	Loss_cls_source: 0.65427	Loss_cls_target: 0.02751	Loss_local: 0.00005	Loss_ALM: 0.31245	 mu: 0.00156
  Train Epoch:   3 [131/195.3125 (0.67%)]	Loss_cls_domain: 0.12830	Loss_cls_source: 0.51034	Loss_cls_target: 0.02657	Loss_local: 0.00005	Loss_ALM: 0.34308	 mu: 0.00172
  Train Epoch:   3 [141/195.3125 (0.72%)]	Loss_cls_domain: 0.12661	Loss_cls_source: 0.46871	Loss_cls_target: 0.02558	Loss_local: 0.00004	Loss_ALM: 0.34282	 mu: 0.00172
  Train Epoch:   3 [151/195.3125 (0.77%)]	Loss_cls_domain: 0.12202	Loss_cls_source: 0.48416	Loss_cls_target: 0.02767	Loss_local: 0.00005	Loss_ALM: 0.37715	 mu: 0.00189
  Train Epoch:   3 [161/195.3125 (0.82%)]	Loss_cls_domain: 0.13126	Loss_cls_source: 0.56008	Loss_cls_target: 0.02486	Loss_local: 0.00005	Loss_ALM: 0.37819	 mu: 0.00208
  Train Epoch:   3 [171/195.3125 (0.88%)]	Loss_cls_domain: 0.12200	Loss_cls_source: 0.36674	Loss_cls_target: 0.02558	Loss_local: 0.00004	Loss_ALM: 0.41501	 mu: 0.00208
  Train Epoch:   3 [181/195.3125 (0.93%)]	Loss_cls_domain: 0.12158	Loss_cls_source: 0.37999	Loss_cls_target: 0.02586	Loss_local: 0.00004	Loss_ALM: 0.45674	 mu: 0.00229
  Train Epoch:   3 [191/195.3125 (0.98%)]	Loss_cls_domain: 0.12066	Loss_cls_source: 0.44757	Loss_cls_target: 0.02352	Loss_local: 0.00004	Loss_ALM: 0.45685	 mu: 0.00229
  Train Epoch:   3 [201/195.3125 (1.03%)]	Loss_cls_domain: 0.11747	Loss_cls_source: 0.49322	Loss_cls_target: 0.02603	Loss_local: 0.00005	Loss_ALM: 0.50250	 mu: 0.00252
  Train Epoch:   3 [211/195.3125 (1.08%)]	Loss_cls_domain: 0.11193	Loss_cls_source: 0.37668	Loss_cls_target: 0.02700	Loss_local: 0.00004	Loss_ALM: 0.55199	 mu: 0.00277
  Train Epoch:   3 [221/195.3125 (1.13%)]	Loss_cls_domain: 0.10584	Loss_cls_source: 0.27741	Loss_cls_target: 0.02298	Loss_local: 0.00004	Loss_ALM: 0.55118	 mu: 0.00277
  Train Epoch:   3 [231/195.3125 (1.18%)]	Loss_cls_domain: 0.10292	Loss_cls_source: 0.33790	Loss_cls_target: 0.02550	Loss_local: 0.00004	Loss_ALM: 0.60594	 mu: 0.00304
  Train Epoch:   4 [  1/195.3125 (0.01%)]	Loss_cls_domain: 0.10270	Loss_cls_source: 0.30862	Loss_cls_target: 0.02285	Loss_local: 0.00004	Loss_ALM: 0.60633	 mu: 0.00335
  Train Epoch:   4 [ 11/195.3125 (0.06%)]	Loss_cls_domain: 0.10290	Loss_cls_source: 0.35473	Loss_cls_target: 0.02379	Loss_local: 0.00004	Loss_ALM: 0.66646	 mu: 0.00335
  Train Epoch:   4 [ 21/195.3125 (0.11%)]	Loss_cls_domain: 0.09632	Loss_cls_source: 0.38939	Loss_cls_target: 0.02527	Loss_local: 0.00004	Loss_ALM: 0.73233	 mu: 0.00368
  Train Epoch:   4 [ 31/195.3125 (0.16%)]	Loss_cls_domain: 0.10104	Loss_cls_source: 0.29253	Loss_cls_target: 0.02567	Loss_local: 0.00004	Loss_ALM: 0.73363	 mu: 0.00368
  Train Epoch:   4 [ 41/195.3125 (0.21%)]	Loss_cls_domain: 0.09635	Loss_cls_source: 0.25190	Loss_cls_target: 0.02389	Loss_local: 0.00004	Loss_ALM: 0.80682	 mu: 0.00405
  Train Epoch:   4 [ 51/195.3125 (0.26%)]	Loss_cls_domain: 0.10200	Loss_cls_source: 0.45923	Loss_cls_target: 0.02163	Loss_local: 0.00004	Loss_ALM: 0.88787	 mu: 0.00446
  Train Epoch:   4 [ 61/195.3125 (0.31%)]	Loss_cls_domain: 0.10081	Loss_cls_source: 0.44817	Loss_cls_target: 0.02233	Loss_local: 0.00005	Loss_ALM: 0.88915	 mu: 0.00446
  Train Epoch:   4 [ 71/195.3125 (0.36%)]	Loss_cls_domain: 0.09945	Loss_cls_source: 0.37826	Loss_cls_target: 0.02427	Loss_local: 0.00005	Loss_ALM: 0.97856	 mu: 0.00490
  Train Epoch:   4 [ 81/195.3125 (0.41%)]	Loss_cls_domain: 0.09036	Loss_cls_source: 0.37020	Loss_cls_target: 0.02264	Loss_local: 0.00004	Loss_ALM: 0.97506	 mu: 0.00539
  Train Epoch:   4 [ 91/195.3125 (0.47%)]	Loss_cls_domain: 0.09308	Loss_cls_source: 0.29999	Loss_cls_target: 0.02225	Loss_local: 0.00004	Loss_ALM: 1.07482	 mu: 0.00539
  Train Epoch:   4 [101/195.3125 (0.52%)]	Loss_cls_domain: 0.09672	Loss_cls_source: 0.55469	Loss_cls_target: 0.02303	Loss_local: 0.00005	Loss_ALM: 1.18484	 mu: 0.00593
  Train Epoch:   4 [111/195.3125 (0.57%)]	Loss_cls_domain: 0.09267	Loss_cls_source: 0.46814	Loss_cls_target: 0.02152	Loss_local: 0.00004	Loss_ALM: 1.18019	 mu: 0.00593
  Train Epoch:   4 [121/195.3125 (0.62%)]	Loss_cls_domain: 0.09784	Loss_cls_source: 0.49411	Loss_cls_target: 0.02040	Loss_local: 0.00004	Loss_ALM: 1.30108	 mu: 0.00653
  Train Epoch:   4 [131/195.3125 (0.67%)]	Loss_cls_domain: 0.09348	Loss_cls_source: 0.45627	Loss_cls_target: 0.02223	Loss_local: 0.00005	Loss_ALM: 1.43190	 mu: 0.00718
  Train Epoch:   4 [141/195.3125 (0.72%)]	Loss_cls_domain: 0.09551	Loss_cls_source: 0.54175	Loss_cls_target: 0.02267	Loss_local: 0.00005	Loss_ALM: 1.43372	 mu: 0.00718
  Train Epoch:   4 [151/195.3125 (0.77%)]	Loss_cls_domain: 0.08905	Loss_cls_source: 0.38973	Loss_cls_target: 0.02367	Loss_local: 0.00005	Loss_ALM: 1.57411	 mu: 0.00790
  Train Epoch:   4 [161/195.3125 (0.82%)]	Loss_cls_domain: 0.09116	Loss_cls_source: 0.36375	Loss_cls_target: 0.02334	Loss_local: 0.00005	Loss_ALM: 1.57483	 mu: 0.00869
  Train Epoch:   4 [171/195.3125 (0.88%)]	Loss_cls_domain: 0.08913	Loss_cls_source: 0.39331	Loss_cls_target: 0.02165	Loss_local: 0.00004	Loss_ALM: 1.72968	 mu: 0.00869
  Train Epoch:   4 [181/195.3125 (0.93%)]	Loss_cls_domain: 0.08800	Loss_cls_source: 0.46836	Loss_cls_target: 0.02308	Loss_local: 0.00005	Loss_ALM: 1.90684	 mu: 0.00956
  Train Epoch:   4 [191/195.3125 (0.98%)]	Loss_cls_domain: 0.08813	Loss_cls_source: 0.44245	Loss_cls_target: 0.02200	Loss_local: 0.00005	Loss_ALM: 1.90496	 mu: 0.00956
  Train Epoch:   4 [201/195.3125 (1.03%)]	Loss_cls_domain: 0.08011	Loss_cls_source: 0.29130	Loss_cls_target: 0.01872	Loss_local: 0.00004	Loss_ALM: 2.08688	 mu: 0.01051
  Train Epoch:   4 [211/195.3125 (1.08%)]	Loss_cls_domain: 0.08564	Loss_cls_source: 0.55011	Loss_cls_target: 0.02117	Loss_local: 0.00005	Loss_ALM: 2.30390	 mu: 0.01156
  Train Epoch:   4 [221/195.3125 (1.13%)]	Loss_cls_domain: 0.07798	Loss_cls_source: 0.37122	Loss_cls_target: 0.02223	Loss_local: 0.00004	Loss_ALM: 2.29493	 mu: 0.01156
  Train Epoch:   4 [231/195.3125 (1.18%)]	Loss_cls_domain: 0.08058	Loss_cls_source: 0.44588	Loss_cls_target: 0.02339	Loss_local: 0.00005	Loss_ALM: 2.52645	 mu: 0.01272
